Name,Gender,AgeGroup,Warmth,Competence
Isaac,Male,3.04,3.06,3.23
Isabella,Female,2.55,3.39,3.34
Isaiah,Male,2.64,3.19,3.04
Jack,Male,3.44,3.23,3.14
Jacob,Male,2.69,3.47,3.26
Jacqueline,Female,4.09,2.91,3.39
Jade,Female,3.3,2.79,3
Jake,Male,2.75,3.34,3.1
James,Male,3.58,3.66,3.32
Jane,Female,5.03,3.05,3.45
Janet,Female,5.61,2.77,3.18
Janice,Female,5.85,2.89,3.22
Jared,Male,3.3,3.28,3.1
Jasmine,Female,3.22,2.97,3.09
Jason,Male,3.49,3.28,3.05
Jay,Male,3.4,3.27,2.79
Jean,Female,6.53,2.85,3.36
Jeanette,Female,5.65,2.7,3.13
Jeff,Male,4.5,3.18,3.12
Jennifer,Female,3.97,3.3,3.5
Jeremiah,Male,3.8,3.21,3.13
Jeremy,Male,3.3,3.12,3.05
Jerry,Male,4.94,3.2,3.14
Jessica,Female,3.41,3.23,3.16
Jill,Female,4.41,3.11,3.2
Jim,Male,5.08,3.11,3.11
Joan,Female,6.04,2.96,3.5
Joanna,Female,4.82,3.04,3.3
Jodi,Female,5.09,2.86,2.99
Joel,Male,4.04,3.24,3.1
John,Male,4.05,3.44,3.41
Jonathan,Male,3.24,3.43,3.34
Joseph,Male,3.7,3.26,3.41
Josephine,Female,5.5,2.95,3.48
Joshua,Male,2.61,3.51,3.17
Judith,Female,6.82,2.85,3.53
Julian,Male,3.33,3.15,3.18
Julie,Female,3.73,3.32,3.42
Justin,Male,2.98,3.48,2.94
Kara,Female,3.29,3.02,3.01
Karen,Female,4.81,2.96,3.38
Karla,Female,4.29,2.9,2.87
Katelyn,Female,3.37,3.15,3.13
Kathleen,Female,4.64,3.26,3.38
Kathryn,Female,4.13,3.13,3.47
Katie,Female,2.92,3.26,3.11
Kayla,Female,2.82,2.96,3.02
Kelsey,Female,3.28,3.12,3.05
Kendra,Female,3.99,2.85,2.87
Kenneth,Male,4.72,3.06,3.29
Kevin,Male,3.42,3.35,3.25
Kimberly,Female,3.76,3.01,3.07
Kristen,Female,3.76,3.07,3.27
Larry,Male,5.7,2.86,2.86
Laura,Female,4.02,3.27,3.34
Lauren,Female,3.69,3.23,3.31
Lawrence,Male,5.31,2.89,3.32
Leah,Female,3.17,3.13,3.11
Leon,Male,4.91,3.01,3.07
Leonardo,Male,4.92,3.23,3.53
Liam,Male,3.41,3.51,3.16
Lillian,Female,4.29,3.15,3.35
Lilly,Female,2.47,3.41,2.99
Linda,Female,5.56,3.02,3.36
Lindsay,Female,3.61,3.13,3
Lisa,Female,4.68,3.04,3.36
Logan,Male,2.77,3.3,2.85
Lonnie,Male,5.27,2.87,2.83
Lori,Female,4.97,3.11,3.27
Louis,Male,4.45,3.25,3.24
Lucas,Male,2.61,3.33,3.06
Luke,Male,3.04,3.51,3.3
Mackenzie,Female,3.07,2.92,3.01
Madeline,Female,3.03,3.31,3.51
Madison,Female,2.77,3.28,3.19
Malachi,Male,4.15,2.61,2.85
Mallory,Female,4.44,2.9,3.25
Marcia,Female,5.54,2.72,3
Marco,Male,3.61,2.88,2.75
Marcus,Male,3.68,3.14,3.01
Margaret,Female,6.25,2.83,3.39
Mariah,Female,3.99,2.79,2.69
Marianne,Female,5.42,2.87,3.36
Marisa,Female,3.88,3.07,3.18
Mark,Male,4.22,3.47,3.34
Martha,Female,6.44,3.09,3.43
Martin,Male,4.58,3.2,3.14
Marvin,Male,5.2,3.05,3.13
Mary,Female,5.21,3.23,3.44
Matthew,Male,3.11,3.79,3.39
Maureen,Female,6.56,2.72,3.35
Maurice,Male,5.37,2.74,2.94
Meghan,Female,3.52,3,3.12
Melanie,Female,3.74,3.08,3.29
Melinda,Female,5.08,2.94,3.15
Melissa,Female,4.19,3.13,3.34
Melody,Female,3.5,3.33,2.85
Melvin,Male,5.88,2.76,3.04
Mercedes,Female,3.75,2.5,2.58
Mia,Female,2.78,3.16,2.87
Michael,Male,3.54,3.54,3.52
Michelle,Female,4.07,3.23,3.4
Mildred,Female,7.47,2.6,3.33
Milton,Male,5.7,2.94,3.24
Mindy,Female,4.37,2.88,2.74
Misty,Female,4.36,2.86,2.49
Mitchell,Male,3.71,3.19,3.26
Molly,Female,3.5,3.29,3.13
Nancy,Female,6.33,2.96,3.53
Natalie,Female,3.3,3.22,3.44
Nicholas,Male,3.29,3.59,3.59
Nicole,Female,3.42,3.15,3.11
Nina,Female,4.02,2.94,3.13
Noah,Male,2.84,3.68,3.39
Norman,Male,6.81,2.88,3.47
Oliver,Male,3.82,3.24,3.25
Olivia,Female,3.36,3.33,3.51
Omar,Male,4.27,2.68,2.6
Oscar,Male,4.74,2.92,3
Pam,Female,4.69,3.01,3.25
Parker,Male,3.47,3.25,3.17
Patrick,Male,4.13,3.23,3.15
Patty,Female,5.93,2.98,3.23
Paul,Male,5.07,3.37,3.35
Paula,Female,5.7,3.02,3.33
Peggy,Female,6.6,2.93,2.71
Penny,Female,4.98,3.11,2.94
Perry,Male,5.04,2.89,2.94
Philip,Male,4.54,3.34,3.5
Preston,Male,3.47,3.18,3.49
Rachel,Female,3.65,3.33,3.39
Ralph,Male,5.13,3.09,3.08
Randy,Male,4.61,3.01,2.98
Raymond,Male,5.18,3.07,3.26
Rebecca,Female,3.96,3.19,3.36
Regina,Female,4.9,2.48,2.79
Reginald,Male,7.11,2.69,3.32
Rex,Male,3.48,2.69,2.32
Richard,Male,5.25,3.09,3.47
Rick,Male,4.86,2.8,2.98
Robert,Male,4.63,3.32,3.55
Roger,Male,5.15,3.05,3.09
Ronald,Male,5.96,2.97,3.28
Roxanne,Female,4.83,2.83,3.01
Roy,Male,5.23,2.81,2.92
Ruben,Male,4.5,2.87,2.97
Russell,Male,4.94,3.08,3.07
Ruth,Female,6.38,2.86,3.38
Ryan,Male,2.85,3.44,3.11
Sabrina,Female,3.37,2.96,2.96
Sally,Female,4.67,3.16,3.18
Samantha,Female,3.34,3.41,3.39
Sandra,Female,5.07,2.89,3.31
Sarah,Female,3.46,3.34,3.44
Scott,Male,4.24,3.18,3.39
Selena,Female,3.56,2.94,2.98
Seth,Male,3.67,3.11,3.05
Shane,Male,3.32,3,2.93
Sharon,Female,6.15,2.95,3.22
Sheila,Female,5.62,2.76,3.03
Shelby,Female,4.07,2.91,3.12
Shelley,Female,4.52,2.92,3.06
Sherri,Female,5.52,2.89,3.24
Shirley,Female,6.33,3.12,3.08
Sierra,Female,3.11,2.87,2.78
Sonia,Female,4.8,2.96,3.26
Sophia,Female,2.78,3.59,3.52
Spencer,Male,3,3.18,2.99
Stacey,Female,4.32,2.97,2.96
Stanley,Male,5.21,3.1,3.3
Stephanie,Female,3.54,3.07,3.25
Stephen,Male,3.83,3.39,3.43
Stuart,Male,5.3,2.96,3.52
Susan,Female,5.94,3.17,3.54
Suzanne,Female,5.45,2.86,3.39
Sylvia,Female,5.05,2.93,3.35
Tamara,Female,4.01,2.82,2.9
Tammy,Female,5.38,2.86,2.8
Tanner,Male,2.9,3.03,2.76
Ted,Male,4.9,2.99,3
Terrence,Male,4.57,2.92,2.96
Thomas,Male,4.1,3.47,3.44
Tiffany,Female,3.58,2.89,2.94
Timothy,Male,3.27,3.25,3.24
Todd,Male,4.42,3.08,3.01
Tony,Male,4.29,3.08,2.76
Trenton,Male,3.34,2.92,2.75
Trevor,Male,3.13,3.07,3
Tristan,Male,2.66,3.08,2.79
Tyler,Male,2.73,3.32,2.95
Valerie,Female,4.13,2.97,3.24
Vernon,Male,5.72,2.48,3.11
Veronica,Female,4.2,2.67,3.03
Vicki,Female,4.44,2.62,2.9
Victor,Male,4.71,2.76,3.16
Victoria,Female,3.6,3.11,3.51
Vincent,Male,4.61,3.09,3.43
Virginia,Female,6.08,2.78,3.26
Walter,Male,6.13,3.17,3.6
Wanda,Female,6.47,2.71,3.09
Wayne,Male,5.28,2.88,3.08
Wendy,Female,4.91,2.94,3.07
Wesley,Male,4.17,3.12,3.24
Whitney,Female,4.74,2.67,2.85
William,Male,4.64,3.48,3.66
Zachary,Male,2.66,3.27,3.16
