ItemID,Item,Voice,CompQ,CompQOptCorrect,CompQOptIncorrect,Name1,Gender1,Pred1,PredType1,Name2,Gender2,Pred2,PredType2,S1SubjReversed,S2SubjReversed,Verb,NPBias,NPBiasCat,GenderBias,ContType,Filler,AdvP,Tense,VerbConj,Continuation,Author,CompQTarget,CompQBase,CompQOptCorrectBase,CompQOptIncorrectBase,ICPro,S1S2,S3,S4
20,Alexander likes to read. Joanna likes to flirt. Alexander and Joanna are siblings. Joanna has envied Alexander for a while because she doesn't feel she ever has time to just sit and read.,MT,TRUE or FALSE: It's Joanna who has envied Alexander.,TRUE,FALSE,Joanna,FEMALE,likes to flirt,likes_to,Alexander,MALE,likes to read,likes_to,TRUE,TRUE,envy,-94,NP2,-5,NP1,are siblings,for a while,present perfect,has envied,doesn't feel she ever has time to just sit and read.,CS,ICVerb,TRUE or FALSE: It's NAME1 who VERBCONJ NAME2.,TRUE,FALSE,she,Alexander likes to read. Joanna likes to flirt. ,Alexander and Joanna are siblings. ,Joanna has envied Alexander for a while because she doesn't feel she ever has time to just sit and read.
21,Stephen owns a salamander. Janice owns a pub. Stephen and Janice are dating. Stephen admires Janice daily because she is such a fantastic business woman.,CS,Is Janice's pub business struggling?,NO,YES,Stephen,MALE,owns a salamander,owns_a,Janice,FEMALE,owns a pub,owns_a,FALSE,FALSE,admire,-92,NP2,-1,NP2,are dating,daily,present,admires,is such a fantastic business woman.,EF,Continuation,Is NAME2's pub business struggling?,NO,YES,she,Stephen owns a salamander. Janice owns a pub. ,Stephen and Janice are dating. ,Stephen admires Janice daily because she is such a fantastic business woman.
22,Erika likes to flirt. Ethan owns a pub. Ethan and Erika are close friends. Ethan has admired Erika for years because she lights up the pub whenever she comes in.,NJ,Who owns a pub?,Ethan,Erika,Ethan,MALE,owns a pub,owns_a,Erika,FEMALE,likes to flirt,likes_to,TRUE,FALSE,admire,-92,NP2,-1,NP2,are close friends,for years,present perfect,has admired,lights up the pub whenever she comes in.,EF,Pred1,Who PRED1?,NAME1,NAME2,she,Erika likes to flirt. Ethan owns a pub. ,Ethan and Erika are close friends. ,Ethan has admired Erika for years because she lights up the pub whenever she comes in.
23,Melinda is a paralegal. Roy likes to sail. Melinda and Roy are roommates. Melinda admired Roy last year because he always found time to go on the water in spite of a very busy year at work.,BL,Who likes to sail?,Roy,Melinda,Melinda,FEMALE,is a paralegal,is_a,Roy,MALE,likes to sail,likes_to,FALSE,FALSE,admire,-92,NP2,-1,NP2,are roommates,last year,past,admired,always found time to go on the water in spite of a very busy year at work.,EF,Pred2,Who PRED2?,NAME2,NAME1,he,Melinda is a paralegal. Roy likes to sail. ,Melinda and Roy are roommates. ,Melinda admired Roy last year because he always found time to go on the water in spite of a very busy year at work.
24,Sherri is a paralegal. Richard owns a bagpipe. Richard and Sherri are cousins. Sherri has admired Richard for a while because he learned to play the instrument on his own just by watching online videos.,MT,Sherri ____________.,is a paralegal,owns a bagpipe,Sherri,FEMALE,is a paralegal,is_a,Richard,MALE,owns a bagpipe,owns_a,FALSE,TRUE,admire,-92,NP2,-1,NP2,are cousins,for a while,present perfect,has admired,learned to play the instrument on his own just by watching online videos.,EF,Pred1,NAME1 ____________.,PRED1,PRED2,he,Sherri is a paralegal. Richard owns a bagpipe. ,Richard and Sherri are cousins. ,Sherri has admired Richard for a while because he learned to play the instrument on his own just by watching online videos.
25,Heidi likes to flirt. Trevor owns a pub. Trevor and Heidi are distantly related. Trevor admired Heidi last month because she was cutting back on the flirting after meeting someone she really liked.,CS,Heidi ____________.,likes to flirt,owns a pub,Trevor,MALE,owns a pub,owns_a,Heidi,FEMALE,likes to flirt,likes_to,TRUE,FALSE,admire,-92,NP2,-1,NP2,are distantly related,last month,past,admired,was cutting back on the flirting after meeting someone she really liked.,EF,Pred2,NAME2 ____________.,PRED2,PRED1,she,Heidi likes to flirt. Trevor owns a pub. ,Trevor and Heidi are distantly related. ,Trevor admired Heidi last month because she was cutting back on the flirting after meeting someone she really liked.
26,Andrew is a bellhop. Melissa is an actor. Melissa and Andrew are married. Melissa admires Andrew often because he schmoozes easily with high-flyers at the hotel.,NJ,Melissa and Andrew ____________.,are married,are cousins,Melissa,FEMALE,is an actor,is_a,Andrew,MALE,is a bellhop,is_a,TRUE,FALSE,admire,-92,NP2,-1,NP2,are married,often,present,admires,schmoozes easily with high-flyers at the hotel.,CS,Filler,NAME1 and NAME2 ____________.,FILLER,are cousins,he,Andrew is a bellhop. Melissa is an actor. ,Melissa and Andrew are married. ,Melissa admires Andrew often because he schmoozes easily with high-flyers at the hotel.
27,Mia owns a salamander. Victor is an ophthalmologist. Mia and Victor are close friends. Mia admires Victor regularly because he volunteers every Thursday morning at a free eye clinic.,BL,TRUE or FALSE: It's Victor who admires Mia.,FALSE,TRUE,Mia,FEMALE,owns a salamander,owns_a,Victor,MALE,is an ophthalmologist,is_a,FALSE,FALSE,admire,-92,NP2,-1,NP2,are close friends,regularly,present,admires,volunteers every Thursday morning at a free eye clinic.,CS,ICVerb,TRUE or FALSE: It's NAME2 who VERBCONJ NAME1.,FALSE,TRUE,he,Mia owns a salamander. Victor is an ophthalmologist. ,Mia and Victor are close friends. ,Mia admires Victor regularly because he volunteers every Thursday morning at a free eye clinic.
28,Zachary likes to crochet. Mindy owns a pub. Zachary and Mindy are neighbors. Mindy has admired Zachary since they met because he makes mittens for all seven of his grandchildren every fall.,MT,What does Zachary crochet for his grandchildren?,mittens,scarves,Mindy,FEMALE,owns a pub,owns_a,Zachary,MALE,likes to crochet,likes_to,TRUE,TRUE,admire,-92,NP2,-1,NP2,are neighbors,since they met,present perfect,has admired,makes mittens for all seven of his grandchildren every fall.,CS,Continuation,What does NAME2 crochet for his grandchildren?,mittens,scarves,he,Zachary likes to crochet. Mindy owns a pub. ,Zachary and Mindy are neighbors. ,Mindy has admired Zachary since they met because he makes mittens for all seven of his grandchildren every fall.
29,Eric is a bellhop. Karen likes to paint. Karen and Eric are divorced. Eric admires Karen often because he never pushed his own artistic pursuits beyond stick figures.,CS,Who is a bellhop?,Eric,Karen,Eric,MALE,is a bellhop,is_a,Karen,FEMALE,likes to paint,likes_to,FALSE,TRUE,admire,-92,NP2,-1,NP1,are divorced,often,present,admires,never pushed his own artistic pursuits beyond stick figures.,CS,Pred1,Who PRED1?,NAME1,NAME2,he,Eric is a bellhop. Karen likes to paint. ,Karen and Eric are divorced. ,Eric admires Karen often because he never pushed his own artistic pursuits beyond stick figures.
30,Larry likes to flirt. Jessica is a bellhop. Jessica and Larry are cousins. Jessica admires Larry daily because she is so shy that meeting new people is hard.,NJ,Who likes to flirt?,Larry,Jessica,Jessica,FEMALE,is a bellhop,is_a,Larry,MALE,likes to flirt,likes_to,TRUE,FALSE,admire,-92,NP2,-1,NP1,are cousins,daily,present,admires,is so shy that meeting new people is hard.,CS,Pred2,Who PRED2?,NAME2,NAME1,she,Larry likes to flirt. Jessica is a bellhop. ,Jessica and Larry are cousins. ,Jessica admires Larry daily because she is so shy that meeting new people is hard.
31,"Charlie is a bellhop. Kristen is an actor. Charlie and Kristen are strangers. Kristen noticed Charlie this afternoon because he helped comfort her dog, who was anxious on the hotel elevator.",BL,Kristen ____________.,is an actor,is a bellhop,Kristen,FEMALE,is an actor,is_a,Charlie,MALE,is a bellhop,is_a,TRUE,TRUE,notice,-92,NP2,9,NP2,are strangers,this afternoon,past,noticed,"helped comfort her dog, who was anxious on the hotel elevator.",CS,Pred1,NAME1 ____________.,PRED1,PRED2,he,Charlie is a bellhop. Kristen is an actor. ,Charlie and Kristen are strangers. ,"Kristen noticed Charlie this afternoon because he helped comfort her dog, who was anxious on the hotel elevator."
32,Jeanette owns a pub. Greg is a bellhop. Jeanette and Greg are distantly related. Jeanette noticed Greg last night because he came into the pub wearing his bright purple uniform.,MT,Greg ____________.,is a bellhop,owns a pub,Jeanette,FEMALE,owns a pub,owns_a,Greg,MALE,is a bellhop,is_a,FALSE,FALSE,notice,-92,NP2,9,NP2,are distantly related,last night,past,noticed,came into the pub wearing his bright purple uniform.,CS,Pred2,NAME2 ____________.,PRED2,PRED1,he,Jeanette owns a pub. Greg is a bellhop. ,Jeanette and Greg are distantly related. ,Jeanette noticed Greg last night because he came into the pub wearing his bright purple uniform.
33,Samantha owns a pub. Alan likes to crochet. Samantha and Alan are dating. Samantha noticed Alan yesterday because he came to the pub wearing a beautiful hand-made sweater.,CS,Samantha and Alan ____________.,are dating,are married,Samantha,FEMALE,owns a pub,owns_a,Alan,MALE,likes to crochet,likes_to,FALSE,FALSE,notice,-92,NP2,9,NP2,are dating,yesterday,past,noticed,came to the pub wearing a beautiful hand-made sweater.,CS,Filler,NAME1 and NAME2 ____________.,FILLER,are married,he,Samantha owns a pub. Alan likes to crochet. ,Samantha and Alan are dating. ,Samantha noticed Alan yesterday because he came to the pub wearing a beautiful hand-made sweater.
34,George likes to crochet. Mary is an ophthalmologist. George and Mary are cousins. George noticed Mary last week because she came to their book club wearing the scarf he had made her last year.,NJ,TRUE or FALSE: It's George who noticed Mary.,TRUE,FALSE,George,MALE,likes to crochet,likes_to,Mary,FEMALE,is an ophthalmologist,is_a,FALSE,FALSE,notice,-92,NP2,9,NP2,are cousins,last week,past,noticed,came to their book club wearing the scarf he had made her last year.,CS,ICVerb,TRUE or FALSE: It's NAME1 who VERBCONJ NAME2.,TRUE,FALSE,she,George likes to crochet. Mary is an ophthalmologist. ,George and Mary are cousins. ,George noticed Mary last week because she came to their book club wearing the scarf he had made her last year.
35,Ralph is an ophthalmologist. Janet likes to read. Janet and Ralph are acquaintances. Janet noticed Ralph this morning because he was sitting on a park bench reading her favorite book.,BL,What did Janet see Ralph doing in the park?,Reading,Jogging,Janet,FEMALE,likes to read,likes_to,Ralph,MALE,is an ophthalmologist,is_a,TRUE,FALSE,notice,-92,NP2,9,NP2,are acquaintances,this morning,past,noticed,was sitting on a park bench reading her favorite book.,CS,Continuation,What did NAME1 see NAME2 doing in the park?,Reading,Jogging,he,Ralph is an ophthalmologist. Janet likes to read. ,Janet and Ralph are acquaintances. ,Janet noticed Ralph this morning because he was sitting on a park bench reading her favorite book.
36,Selena likes to paint. Kenneth likes to sail. Selena and Kenneth are married. Kenneth noticed Selena five years ago because she was painting in the park next to where he launched his boat.,MT,Who likes to sail?,Kenneth,Selena,Kenneth,MALE,likes to sail,likes_to,Selena,FEMALE,likes to paint,likes_to,TRUE,TRUE,notice,-92,NP2,9,NP2,are married,five years ago,past,noticed,was painting in the park next to where he launched his boat.,EF,Pred1,Who PRED1?,NAME1,NAME2,she,Selena likes to paint. Kenneth likes to sail. ,Selena and Kenneth are married. ,Kenneth noticed Selena five years ago because she was painting in the park next to where he launched his boat.
37,Melody likes to paint. Jerry likes to flirt. Jerry and Melody are coworkers. Melody noticed Jerry this morning because he was laughing loudly with another colleague near the coffee machine.,CS,Who likes to flirt?,Jerry,Melody,Melody,FEMALE,likes to paint,likes_to,Jerry,MALE,likes to flirt,likes_to,FALSE,TRUE,notice,-92,NP2,9,NP2,are coworkers,this morning,past,noticed,was laughing loudly with another colleague near the coffee machine.,EF,Pred2,Who PRED2?,NAME2,NAME1,he,Melody likes to paint. Jerry likes to flirt. ,Jerry and Melody are coworkers. ,Melody noticed Jerry this morning because he was laughing loudly with another colleague near the coffee machine.
38,Jeremy owns a bagpipe. Olivia is a bellhop. Olivia and Jeremy are engaged. Olivia noticed Jeremy last year because he was playing his bagpipe in the public garden.,NJ,Olivia ____________.,is a bellhop,owns a bagpipe,Olivia,FEMALE,is a bellhop,is_a,Jeremy,MALE,owns a bagpipe,owns_a,TRUE,FALSE,notice,-92,NP2,9,NP2,are engaged,last year,past,noticed,was playing his bagpipe in the public garden.,EF,Pred1,NAME1 ____________.,PRED1,PRED2,he,Jeremy owns a bagpipe. Olivia is a bellhop. ,Olivia and Jeremy are engaged. ,Olivia noticed Jeremy last year because he was playing his bagpipe in the public garden.
39,Shelby owns a treadmill. Parker likes to read. Shelby and Parker are close friends. Parker noticed Shelby last night because he was taking a walk in her neighborhood and saw her jogging across the street.,BL,Shelby ____________.,owns a treadmill,likes to read,Parker,MALE,likes to read,likes_to,Shelby,FEMALE,owns a treadmill,owns_a,TRUE,TRUE,notice,-92,NP2,9,NP1,are close friends,last night,past,noticed,was taking a walk in her neighborhood and saw her jogging across the street.,EF,Pred2,NAME2 ____________.,PRED2,PRED1,he,Shelby owns a treadmill. Parker likes to read. ,Shelby and Parker are close friends. ,Parker noticed Shelby last night because he was taking a walk in her neighborhood and saw her jogging across the street.
40,Leon owns a bagpipe. Carol owns a treadmill. Leon and Carol are siblings. Leon noticed Carol this morning because he woke up early and she was already running on her treadmill.,MT,Leon and Carol ____________.,are siblings,are divorced,Leon,MALE,owns a bagpipe,owns_a,Carol,FEMALE,owns a treadmill,owns_a,FALSE,FALSE,notice,-92,NP2,9,NP1,are siblings,this morning,past,noticed,woke up early and she was already running on her treadmill.,EF,Filler,NAME1 and NAME2 ____________.,FILLER,are divorced,he,Leon owns a bagpipe. Carol owns a treadmill. ,Leon and Carol are siblings. ,Leon noticed Carol this morning because he woke up early and she was already running on her treadmill.
41,Jill likes to read. Jake is an ophthalmologist. Jill and Jake are married. Jill pities Jake occasionally because he still brags embarrassingly about going to med school at Johns Hopkins.,CS,TRUE or FALSE: It's Jake who pities Jill.,FALSE,TRUE,Jill,FEMALE,likes to read,likes_to,Jake,MALE,is an ophthalmologist,is_a,FALSE,FALSE,pity,-83,NP2,10,NP2,are married,occasionally,present,pities,still brags embarrassingly about going to med school at Johns Hopkins.,CS,ICVerb,TRUE or FALSE: It's NAME2 who VERBCONJ NAME1.,FALSE,TRUE,he,Jill likes to read. Jake is an ophthalmologist. ,Jill and Jake are married. ,Jill pities Jake occasionally because he still brags embarrassingly about going to med school at Johns Hopkins.
42,Preston owns a treadmill. Kara owns a bagpipe. Preston and Kara are close friends. Preston pitied Kara yesterday because she didn't know the neighbors were grumbling in the hallway about the noise she was making.,NJ,The neighbors were grumbling because of Kara's ____________.,bagpipe,treadmill,Preston,MALE,owns a treadmill,owns_a,Kara,FEMALE,owns a bagpipe,owns_a,FALSE,FALSE,pity,-83,NP2,10,NP2,are close friends,yesterday,past,pitied,didn't know the neighbors were grumbling in the hallway about the noise she was making.,CS,Continuation,The neighbors were grumbling because of NAME2's ____________.,bagpipe,treadmill,she,Preston owns a treadmill. Kara owns a bagpipe. ,Preston and Kara are close friends. ,Preston pitied Kara yesterday because she didn't know the neighbors were grumbling in the hallway about the noise she was making.
43,Ruben is a paralegal. Jade likes to paint. Jade and Ruben are cousins. Ruben pities Jade often because she keeps taking her paintings to local craft shows and never makes a sale.,BL,Who is a paralegal?,Ruben,Jade,Ruben,MALE,is a paralegal,is_a,Jade,FEMALE,likes to paint,likes_to,FALSE,TRUE,pity,-83,NP2,10,NP2,are cousins,often,present,pities,keeps taking her paintings to local craft shows and never makes a sale.,CS,Pred1,Who PRED1?,NAME1,NAME2,she,Ruben is a paralegal. Jade likes to paint. ,Jade and Ruben are cousins. ,Ruben pities Jade often because she keeps taking her paintings to local craft shows and never makes a sale.
44,Lonnie likes to read. Jennifer owns a limousine. Lonnie and Jennifer are roommates. Jennifer pitied Lonnie last month because he knocked his coffee all over a pristine first-edition novel he had just bought.,MT,Who likes to read?,Lonnie,Jennifer,Jennifer,FEMALE,owns a limousine,owns_a,Lonnie,MALE,likes to read,likes_to,TRUE,TRUE,pity,-83,NP2,10,NP2,are roommates,last month,past,pitied,knocked his coffee all over a pristine first-edition novel he had just bought.,CS,Pred2,Who PRED2?,NAME2,NAME1,he,Lonnie likes to read. Jennifer owns a limousine. ,Lonnie and Jennifer are roommates. ,Jennifer pitied Lonnie last month because he knocked his coffee all over a pristine first-edition novel he had just bought.
